startTime,End Time,Day,Name,Address,Location,Location Notes,Meeting Types,Meeting Notes,Group
8:00 PM,9:00 PM,Monday,Decker Avenue Step,"186 Decker Ave, Staten Island, NY 10302, USA",St. Paul's Church,,12 Steps & 12 Traditions,PASSWORD: freedom,Decker Avenue Step
8:00 PM,9:30 PM,Monday,Woodrow Big Book,"1075 Woodrow Rd, Staten Island, NY 10312, USA",Woodrow Methodist Church,,"Big Book, ",90 Minutes,Woodrow Big Book
8:30 PM,9:30 PM,Monday,Mariner's Harbor Group,"602 Port Richmond Ave, Staten Island, NY 10302, USA",St. Roch's Chruch,,"Closed, Discussion",,Mariner's Harbor Group
7:00 AM,8:00 AM,Tuesday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"12 Steps & 12 Traditions, Closed, ",,Staten Island Foggy Bottoms Group
9:00 AM,10:00 AM,Tuesday,Open Arms / Exodus,"1130 South Ave, Staten Island, NY 10314, USA",,Basement,"Discussion, Open",,Open Arms / Exodus
10:00 AM,11:00 AM,Tuesday,Fifth Chapter - How It Works,"345 Guyon Ave, Staten Island, NY 10306, USA",Oakwood Heights Community Church,,Newcomer,Limited to 30 people as per CDC requirements.,Fifth Chapter - How It Works
10:30 AM,11:30 AM,Tuesday,Early Risers Group,"552 Port Richmond Ave, Staten Island, NY 10302, USA","HOW Club, Inc.",Entrance left side,"Closed, Discussion, ",,Early Risers Group
1:00 PM,2:00 PM,Tuesday,Deliverance Group,"3980 Victory Blvd, Staten Island, NY 10314, USA",Staten Island Christian Church,,"12 Steps & 12 Traditions, Discussion",PASSWORD REQUIRED: 44000,Deliverance Group
2:00 PM,3:00 PM,Tuesday,Sisters In Sobriety,"3911 Richmond Ave, Staten Island, NY 10312, USA",YMCA Counseling Building,Second Floor,"Newcomer, Women",,Sisters In Sobriety
4:00 PM,5:00 PM,Tuesday,4 O'Clock Lounge Group,"1657 Victory Blvd, Staten Island, NY 10314, USA",Castleton Hill Moravian Church,,"Discussion, Wheelchair Access",Entrance is on Hodges Place,4 O'Clock Lounge Group
4:00 PM,5:00 PM,Tuesday,H.O.W. Group,"5371 Amboy Rd, Staten Island, NY 10312, USA",Our Lady Star of the Sea,Entrance left side,"Discussion, Open, Speaker","*H.O.W - Honesty, Open-mindedness, & Willingness",
6:30 PM,7:30 PM,Tuesday,Unity Group,"375 Seguine Ave, Staten Island, NY 10309, USA",Staten Island University Hospital,Meet in the Board Room,"Newcomer, Wheelchair Access",Main Conference Room,Unity Group
7:00 PM,8:00 PM,Tuesday,The Family Afterward,"1075 Woodrow Rd, Staten Island, NY 10312, USA",Woodrow Methodist Church,,Big Book,,
7:30 PM,8:30 PM,Tuesday,Women Sharing,"1 Kingsley Ave, Staten Island, NY 10314, USA",Ascension Episcopal,,"Discussion,  Women",,Women Sharing
7:30 PM,8:30 PM,Tuesday,Read This Book,"2018 Richmond Ave, Staten Island, NY 10314, USA",Immanuel Lutheran Church,"Near Rockland Avenue
District 507","Big Book, Open",Masks must be worn. You must bring your own Big Book and refreshments.,
7:30 PM,8:45 PM,Tuesday,First Step Group,"390 Hylan Blvd, Staten Island, NY 10305, USA",Labetti Post,Use side entrance,Newcomer,,First Step Group
8:00 PM,9:00 PM,Tuesday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Big Book, Closed, ",,Staten Island Foggy Bottoms Group
8:30 PM,9:30 PM,Tuesday,Tuesday Knights Men's (Discussion) Group,"2205 Richmond Rd, Staten Island, NY 10306, USA",New Dorp Moravian Church,at Todt Hill - Basement Gym,"Discussion, Men",,Tuesday Night's Men's (Discussion) Group
8:30 PM,9:30 PM,Tuesday,St. Mark's Step Group,"6144 Amboy Rd, Staten Island, NY 10309, USA",St. Mark's Church,,"12 Steps & 12 Traditions,  Wheelchair Access",,St. Mark's Step Group
7:00 AM,8:00 AM,Wednesday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Big Book, Open",,Staten Island Foggy Bottoms Group
10:00 AM,11:00 AM,Wednesday,Beachcombers II,"121 Cleveland Ave, Staten Island, NY 10308, USA",Christ Lutheran Church,,12 Steps & 12 Traditions,No Password Required,Beachcombers II
10:00 AM,11:00 AM,Wednesday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Discussion, Open",,
12:00 PM,1:00 PM,Wednesday,Keeping It Simple,"2018 Richmond Ave, Staten Island, NY 10314, USA",Immanuel Lutheran Church,"Near Rockland Avenue
District 507",Closed,PASSWORD REQUIRED: Contact Group Member,Keeping It Simple
2:00 PM,3:00 PM,Wednesday,Why Not? Group,"3911 Richmond Ave, Staten Island, NY 10312, USA",YMCA Counseling Building,Second Floor,"Daily Reflections, Discussion, ",,Why Not? Group
4:00 PM,5:00 PM,Wednesday,H.O.P.E. Group,"7033 Amboy Rd, Staten Island, NY 10307, USA",Bethel United Methodist Church,,"Closed, Discussion","PASSWORD: freedom
Open Speaker Meeting Last Wednesday of the Month",H.O.P.E. Group
4:00 PM,5:00 PM,Wednesday,4 O'Clock Lounge Group,"1657 Victory Blvd, Staten Island, NY 10314, USA",Castleton Hill Moravian Church,,"Discussion, Wheelchair Access",,4 O'Clock Lounge Group
6:30 PM,7:30 PM,Wednesday,The Promises Group,"76 St Albans Pl, Staten Island, NY 10312, USA",St. Alban's Episcopal Church,,Discussion,,The Promises Group
7:00 PM,8:00 PM,Wednesday,Sunnyside Group,"1657 Victory Blvd, Staten Island, NY 10314, USA",Castleton Hill Moravian Church,,Newcomer,PASSWORD REQUIRED: Contact Group Member,
7:00 PM,8:00 PM,Wednesday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Closed, Discussion, Grapevine, ",,Staten Island Foggy Bottoms Group
7:30 PM,8:30 PM,Wednesday,No Matter What Group,"539 Greeley Ave, Staten Island, NY 10306, USA",Oasis Church,,Discussion,This group is meeting on location on Thursdays @ 7:30pm.,No Matter What Group
7:30 PM,8:45 PM,Wednesday,Young People's Group of Staten Island,"225 St Pauls Ave, Staten Island, NY 10304, USA",St. Paul's Episcopal Church,,"Discussion, Open","Must bring your own mask, chair and refreshments. Bathroom available.",Young People's Group of Staten Island
7:45 PM,8:45 PM,Wednesday,Common Solution,"2018 Richmond Ave, Staten Island, NY 10314, USA",Immanuel Lutheran Church,"Near Rockland Avenue
District 507","Big Book, Closed",,Common Solution
8:00 PM,9:00 PM,Wednesday,Prince's Bay Step Group,"375 Seguine Ave, Staten Island, NY 10309, USA",Staten Island University Hospital,Meet in the Board Room,"12 Steps & 12 Traditions, Wheelchair Access",,Prince's Bay Step Group
8:30 PM,9:30 PM,Wednesday,Amboy-Eltingville Group,"76 St Albans Pl, Staten Island, NY 10312, USA",St. Alban's Episcopal Church,,Discussion,,Amboy-Eltingville Group
7:00 AM,8:00 AM,Thursday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Closed, ",,
10:00 AM,11:00 AM,Thursday,K.I.S.S. II,"121 Cleveland Ave, Staten Island, NY 10308, USA",Christ Lutheran Church,,Newcomer,,K.I.S.S. II
10:00 AM,11:00 AM,Thursday,Fourth Edition Group,"552 Port Richmond Ave, Staten Island, NY 10302, USA","HOW Club, Inc.",Entrance left side,Big Book,,Fourth Edition Group
1:00 PM,2:00 PM,Thursday,Annadale Group,"195 Jefferson Blvd, Staten Island, NY 10312, USA",Messiah Lutheran Church,,12 Steps & 12 Traditions,PASSWORD: freedom,Annadale Group
1:00 PM,2:00 PM,Thursday,Lunchtime Beginners Group,"3911 Richmond Ave, Staten Island, NY 10312, USA",YMCA Counseling Building,Second Floor,"Closed, Newcomer",,Lunchtime Beginners Group
4:00 PM,5:00 PM,Thursday,4 O'Clock Lounge Group,"1657 Victory Blvd, Staten Island, NY 10314, USA",Castleton Hill Moravian Church,,"Discussion, ",,4 O'Clock Lounge Group
4:00 PM,5:00 PM,Thursday,24 Hour Group,"5371 Amboy Rd, Staten Island, NY 10312, USA",Our Lady Star of the Sea,Entrance left side,"12 Steps & 12 Traditions, Closed, ",,24 Hour Group
6:45 PM,7:45 PM,Thursday,Halt II Group,"375 Seguine Ave, Staten Island, NY 10309, USA",Staten Island University Hospital,Meet in the Board Room,"Closed, Discussion, Living Sober, Wheelchair Access",This meeting is now reading from Living Sober; the first week is a speaker.,Halt II Group
7:00 PM,8:00 PM,Thursday,Came to Believe Group,"2018 Richmond Ave, Staten Island, NY 10314, USA",Immanuel Lutheran Church,"Near Rockland Avenue
District 507","Big Book,  Open",,Came to Believe Group
7:00 PM,8:00 PM,Thursday,Serenity Lounge,"390 Hylan Blvd, Staten Island, NY 10305, USA",Labetti Post,Use side entrance,Newcomer,,Serenity Lounge
7:00 PM,8:00 PM,Thursday,Richmondtown Step,"3560 Richmond Rd, Staten Island, NY 10306, USA",Saint Patrick’s School,"Entrance on the corner of Richmond Road and McKinley Ave.
(1st classroom on the right)","12 Steps & 12 Traditions, ",,Richmondtown Step
7:15 PM,8:15 PM,Thursday,Randall Manor Group,"557 Bard Ave, Staten Island, NY 10310, USA",Our Savior Lutheran Church,,Newcomer,,Randall Manor Group
8:00 PM,9:00 PM,Thursday,Tottenville Group,"7033 Amboy Rd, Staten Island, NY 10307, USA",Bethel United Methodist Church,,Discussion,PASSWORD: freedom,Tottenville Group
8:00 PM,9:00 PM,Thursday,3 & 11 Step Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"12 Steps & 12 Traditions, ",,3 & 11 Step Group
8:00 PM,9:00 PM,Thursday,Fresh Start Group,"345 Guyon Ave, Staten Island, NY 10306, USA",Oakwood Heights Community Church,,Newcomer,,Fresh Start Group
8:30 PM,9:30 PM,Thursday,Randall Manor Group,"557 Bard Ave, Staten Island, NY 10310, USA",Our Savior Lutheran Church,,Discussion,,Randall Manor Group
8:30 PM,9:30 PM,Thursday,Grant City Group,"136 Midland Ave, Staten Island, NY 10306, USA",St. Christopher's Community Center,,"Closed, Discussion, ",,Grant City Group
7:00 AM,8:00 AM,Friday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Closed, Living Sober, ",,Staten Island Foggy Bottoms Group
9:00 AM,10:00 AM,Friday,Open Arms / Exodus,"1130 South Ave, Staten Island, NY 10314, USA",,Basement,"Discussion, Open",In the Basement,Open Arms / Exodus
10:00 AM,11:00 AM,Friday,New Hope Group,"2018 Richmond Ave, Staten Island, NY 10314, USA",Immanuel Lutheran Church,"Near Rockland Avenue
District 507","Closed, ",Chips,New Hope Group
10:00 AM,11:00 AM,Friday,Fifth Chapter - How It Works II,"345 Guyon Ave, Staten Island, NY 10306, USA",Oakwood Heights Community Church,,"Discussion, ",Limited to capacity of 30 as per CDC requirements.,Fifth Chapter - How It Works II
12:00 PM,1:00 PM,Friday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Living Sober, Newcomer",,Staten Island Foggy Bottoms Group
1:00 PM,2:00 PM,Friday,Friday Afternoon Step Group,"195 Jefferson Blvd, Staten Island, NY 10312, USA",Messiah Lutheran Church,,12 Steps & 12 Traditions,"If you are unable to connect to the meeting from the button below, you can access it from your web browser at: https://intergroup.zoom.us/j/
77067066984",Friday Afternoon Step Group
2:00 PM,3:00 PM,Friday,Working With Others,"3911 Richmond Ave, Staten Island, NY 10312, USA",YMCA Counseling Building,Second Floor,"Discussion, ",,Working With Others
4:00 PM,5:00 PM,Friday,4 O'Clock Lounge Group,"1657 Victory Blvd, Staten Island, NY 10314, USA",Castleton Hill Moravian Church,,"12 Steps & 12 Traditions, Wheelchair Access",,4 O'Clock Lounge Group
4:00 PM,5:00 PM,Friday,H.O.W. Group,"5371 Amboy Rd, Staten Island, NY 10312, USA",Our Lady Star of the Sea,Entrance left side,"Discussion, Open",,H.O.W. Group
7:00 PM,8:00 PM,Friday,Friends of Bill W.,"1331 Bay St, Staten Island, NY 10305, USA",Canterbury House,Right-rear Parking Lot,"12 Steps & 12 Traditions, ",,Friends of Bill W.
7:00 PM,8:00 PM,Friday,Parents and Children (PAC) Group,"300 Genesee Ave, Staten Island, NY 10312, USA",Eltingville Lutheran Church,,"Discussion,  Open",PASSWORD: freedom,Parents and Children (PAC) Group
7:00 PM,8:00 PM,Friday,Grupo Para Todos,"105 Targee St, Staten Island, NY 10304, USA",Immaculate Conception Church,,"Discussion, Open, Spanish",,Grupo Para Todos
7:00 PM,8:00 PM,Friday,Friday Night Women's Group,"97 Myrtle Ave, Staten Island, NY 10310, USA",Olivet Presbyterian Church,,"Discussion, Wheelchair Access, Women",,Friday Night Women's Group
7:30 PM,9:00 PM,Friday,The Family Afterwards Group,"1075 Woodrow Rd, Staten Island, NY 10312, USA",Woodrow Methodist Church,," Open, Wheelchair Access",,The Family Afterwards Group
7:30 PM,8:30 PM,Friday,The Friday-Nite Big Book Discussion Group,"584 Bloomingdale Rd, Staten Island, NY 10309, USA",Zion Church,,"Big Book, Discussion, Open",,The Friday-Nite Big Book Discussion Group
8:00 PM,9:00 PM,Friday,Russian Group of Staten Island,"96 McClean Ave, Staten Island, NY 10305, USA",,Entrance left side,"Discussion, Open, Russian",,Russian Group of Staten Island
8:30 PM,9:30 PM,Friday,Big Book Pioneer Group,"2205 Richmond Rd, Staten Island, NY 10306, USA",New Dorp Moravian Church,at Todt Hill - Basement Gym,Big Book,First Building on the left.,Big Book Pioneer Group
8:30 PM,9:30 PM,Friday,Port Richmond Group,"186 Decker Ave, Staten Island, NY 10302, USA",St. Paul's Church,,Closed,,Port Richmond Group
8:30 PM,9:30 PM,Friday,Staten Island Discussion Group,"225 St Pauls Ave, Staten Island, NY 10304, USA",St. Paul's Episcopal Church,,"Closed, Sign Language",,Staten Island Discussion Group
9:00 PM,10:00 PM,Friday,Huguenot Step Group,"50 Maguire Ave, Staten Island, NY 10309, USA",St. Joesph St. Thomas,,"12 Steps & 12 Traditions, ",,Huguenot Step Group
7:00 AM,8:00 AM,Saturday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Discussion, Open",,Staten Island Foggy Bottoms Group
9:00 AM,10:00 AM,Saturday,The Other End Group,"390 Hylan Blvd, Staten Island, NY 10305, USA",Labetti Post,Use side entrance,Discussion,,The Other End Group
10:30 AM,11:30 AM,Saturday,Good Morning Group,"6144 Amboy Rd, Staten Island, NY 10309, USA",St. Mark's Church,,"Closed, ","Masks are required. Bring your own coffee, bagel. Also on Zoom ID 449 082 095",Good Morning Group
12:30 PM,1:30 PM,Saturday,Saturday Women's Meeting Group,"552 Port Richmond Ave, Staten Island, NY 10302, USA","HOW Club, Inc.",Entrance left side,"Closed, ",,Saturday Women's Meeting Group
1:00 PM,2:00 PM,Saturday,Steps by the Sea,"195 Jefferson Blvd, Staten Island, NY 10312, USA",Messiah Lutheran Church,,"12 Steps & 12 Traditions, Wheelchair Access",,Steps by the Sea
2:30 PM,3:30 PM,Saturday,The Only Requirement,"375 Seguine Ave, Staten Island, NY 10309, USA",Staten Island University Hospital,Meet in the Board Room,"Discussion,  Open, Secular",,
4:00 PM,5:00 PM,Saturday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Discussion, Open",,Staten Island Foggy Bottoms Group
5:00 PM,6:00 PM,Saturday,The Point Group,"45 Old Mill Rd, Staten Island, NY 10306, USA",St. Andrew's Church,Hemsley Hall,Closed,PASSWORD: freedom,The Point Group
7:30 PM,8:30 PM,Saturday,Jaywalkers Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Discussion, Open",,Jaywalkers Group
7:30 PM,8:30 PM,Saturday,Watch Your Step,"5371 Amboy Rd, Staten Island, NY 10312, USA",Our Lady Star of the Sea,Entrance left side,"12 Steps & 12 Traditions, ",,Watch Your Step
8:30 PM,9:30 PM,Saturday,Awakening Group,"557 Bard Ave, Staten Island, NY 10310, USA",Our Savior Lutheran Church,,"Discussion, ",,Awakening Group
9:30 PM,10:30 PM,Saturday,Bob & Bill's Excellent Adventure Group,"30 Maple Pkwy, Staten Island, NY 10303, USA",Calvary Chapel,,Discussion,,Bob & Bill's Excellent Adventure Group
7:00 AM,8:00 AM,Sunday,Jaywalkers Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Discussion, Open",,Jaywalkers Group
9:00 AM,10:00 AM,Sunday,Sunday Morning Early Birds,"2900 Amboy Rd, Staten Island, NY 10306, USA",Msgr. Farrell High School,"Cafeteria, in rear",Discussion,,Sunday Morning Early Birds
9:00 AM,10:00 AM,Sunday,First Drink Group,"6581 Hylan Blvd, Staten Island, NY 10309, USA",Mt. Loretto,"Inside of parking lot, Building 13 Cunningham Road past guard shack on left",Newcomer,PASSWORD NEEDED: Contact a group member,First Drink Group
10:00 AM,11:00 AM,Sunday,Eye Opener Group,"100 Central Ave, Staten Island, NY 10301, USA",Project Hospitality Cafe,Door opens at 9:50am,"12 Steps & 12 Traditions, ",,Eye Opener Group
11:00 AM,12:15 PM,Sunday,Conscious Contact,"3560 Richmond Rd, Staten Island, NY 10306, USA",Saint Patrick’s School,"Entrance on the corner of Richmond Road and McKinley Ave.
(1st classroom on the right)",12 Steps & 12 Traditions,No Password Required,Conscious Contact
4:00 PM,5:00 PM,Sunday,Remembrance Group,"7033 Amboy Rd, Staten Island, NY 10307, USA",Bethel United Methodist Church,,Newcomer,,Remembrance Group
4:00 PM,5:00 PM,Sunday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"12 Steps & 12 Traditions, Closed, Tradition Study",,Staten Island Foggy Bottoms Group
5:00 PM,6:00 PM,Sunday,Pass It On Group,"151 Lindenwood Rd, Staten Island, NY 10308, USA",St. Clare's School,rear parking lot,"12 Steps & 12 Traditions,  Wheelchair Access",No Password Needed,Pass It On Group
7:00 PM,8:15 PM,Sunday,Attitude Adjustment,"97 Myrtle Ave, Staten Island, NY 10310, USA",Olivet Presbyterian Church,,Closed,No Password Required,Attitude Adjustment
7:30 PM,8:30 PM,Sunday,Amboy-Eltingville Group,"76 St Albans Pl, Staten Island, NY 10312, USA",St. Alban's Episcopal Church,,"Discussion,  Open",,Amboy-Eltingville Group
8:00 PM,9:00 PM,Sunday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,", Newcomer",,
8:00 PM,9:00 PM,Sunday,Watch Your Step Beginners,"5371 Amboy Rd, Staten Island, NY 10312, USA",Our Lady Star of the Sea,Entrance left side,Newcomer,PASSWORD REQUIRED: Contact group member,Watch Your Step Beginners
9:00 PM,10:00 PM,Sunday,First Day Group,"2205 Richmond Rd, Staten Island, NY 10306, USA",New Dorp Moravian Church,at Todt Hill - Basement Gym,"12 Steps & 12 Traditions, Tradition Study",,First Day Group
